smiles,logp
Cc1ncc(COP(=O)(O)O)c(C=O)c1O,-0.55
Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,-0.96
NC(Cc1cnc[nH]1)C(=O)O,-2.67
C[S+](CCC(N)C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,0.05
CC(=O)C(=O)O,-0.38
NC(Cc1ccccc1)C(=O)O,-1.35
O=C(O)CCCCC1SCC2NC(=O)NC21,0.17
C[N+](C)(C)CCO,-3.59
NCCCCC(N)C(=O)O,-3.76
NC(N)=NCCCC(N)C(=O)O,-3.49
O=C1OC(C(O)CO)C(O)=C1O,-1.58
NCCCNCCCCNCCCN,-0.66
NC(CC(=O)O)C(=O)O,-3.52
NCCCC(N)C(=O)O,-3.64
NC(=O)CCC([NH3+])C(=O)[O-],-3.32
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,-3.13
CCC=CCC=CCC=CCCCCCCCC(=O)O,6.62
NC(CO)C(=O)O,-3.42
CSCCC(N)C(=O)O,-1.85
NC(Cc1ccc(O)cc1)C(=O)O,-2.39
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,5.51
CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C,8.29
[NH3+]C(CSSCC([NH3+])C(=O)[O-])C(=O)[O-],-3.16
O=C(O)CCC(=O)O,-0.53
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,-1.05
CC(=O)NC(C=O)C(O)C(O)C(O)CO,-2.10
[NH3+]C(CCC(=O)O)C(=O)[O-],-3.54
NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,-2.74
CCCC(=O)OC(COC(=O)CC)COP(=O)(O)OCC(N)C(=O)O,-1.02
NCC(=O)O,-3.34
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,6.71
Cc1ncc(CO)c(C=O)c1O,0.02
CN(CC(=O)[O-])C(=N)[NH3+],-1.59
CC(C)CC(N)C(=O)O,-1.82
NC(Cc1c[nH]c2ccccc12)C(=O)O,-1.10
[NH3+]C(CS)C(=O)[O-],-2.57
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,-2.11
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,7.59
CCCCCC=CCC=CCC=CCCCCCCC(=O)O,7.24
NC(=O)NCCCC([NH3+])C(=O)[O-],-3.27
CC(O)C([NH3+])C(=O)[O-],-3.01
NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1,-1.45
Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,-0.04
CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,6.53
CC(N)C(=O)O,-3.05
CC(C)C([NH3+])C(=O)[O-],-2.29
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,6.38
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,8.84
Cc1ncc(CO)c(CO)c1O,-0.57
O=C(O)CCCCC1CCSS1,2.75
CCC(C)C(N)C(=O)O,-1.73
COC(=O)C(Cc1ccccc1)NC(=O)C([NH3+])CC(=O)[O-],-1.18
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,7.98
CC1=CC(=O)c2ccccc2C1=O,1.91
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,-0.84
O=C(O)C1CCCN1,-2.71
Nc1ncnc2nc[nH]c12,-0.38
NC(=O)CC(N)C(=O)O,-3.36
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21,2.23
COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1,2.89
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C,3.68
CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21,0.92
CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,3.44
CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,2.20
NCC(CC(=O)O)c1ccc(Cl)cc1,-0.82
CC(N)Cc1ccccc1,1.85
CN1CCCC1c1cccnc1,0.87
CC1OC2(CS1)CN1CCC2CC1,1.46
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,2.98
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,2.02
C#CC(O)(C=CCl)CC,1.45
CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O,-0.16
CC(C)(N)Cc1ccccc1,2.32
CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21,3.24
COc1cccc(C2(O)CCCCC2CN(C)C)c1,2.71
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-1.21
CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,3.00
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.58
Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)NC3=O)cc1)O2,4.16
CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,1.30
Cn1c(=O)c2c(ncn2C)n(C)c1=O,-0.24
C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C,-2.49
CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12,2.35
CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,2.17
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,2.62
COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC,4.05
Clc1ccccc1CN1CCc2sccc2C1,4.25
COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,6.06
COc1ccc(OC)c(C(O)CNC(=O)CN)c1,-0.49
COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,2.11
Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1,1.76
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,3.58
CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,3.84
CN=C(NC)NCc1ccccc1,1.41
COc1c(N2CC3CCCNC3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,0.01
CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,0.20
Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,4.61
CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,0.63
CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,1.91
CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,3.26
NC(N)=NCC1COC2(CCCCC2)O1,0.03
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,4.11
FC(F)OC(F)(F)C(F)Cl,2.24
CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3csc(N)n3)C2SC1,-0.33
CC(C)CC(CN)CC(=O)O,-1.35
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,2.16
CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O,0.93
Nc1ccc(C(=O)O)c(O)c1,0.62
CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,3.06
Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1,1.04
O=C(CCBr)N1CCN(C(=O)CCBr)CC1,1.09
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,1.70
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,1.75
Clc1ccc(CON=C(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,5.28
CC1CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1(O)C(=O)CO,2.11
C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O,1.47
Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,-0.12
COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1,2.08
Nc1ccc(O)c(C(=O)O)c1,0.75
O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,4.64
CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2N(C)C1,2.22
C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)CC2c3cccc4[nH]cc(c34)CC21,2.97
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1I,-0.70
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,1.19
CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.58
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,2.26
CC(=O)C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3C(O)CC12C,3.06
CCC(=C(CC)c1ccc(O)cc1)c1ccc(O)cc1,4.62
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.48
Nc1ccc(S(N)(=O)=O)cc1,-0.16
NC1CONC1=O,-2.31
O=C1CN2Cc3c(ccc(Cl)c3Cl)NC2=N1,1.95
O=NN(CCCl)C(=O)NCCCl,1.24
Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C,1.14
COCCc1ccc(OCC(O)CNC(C)C)cc1,1.80
CC=CC(=O)N(CC)c1ccccc1C,2.70
O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O,1.54
CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC12)c1csc(N)n1,-0.13
CCCN(CCC)CCc1cccc2c1CC(=O)N2,3.16
COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,5.95
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12,3.00
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,2.27
NCCc1ccn[nH]1,-0.64
CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,1.29
COC1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC21,-0.38
CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,2.98
COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,4.66
Cn1c(=O)c2[nH]cnc2n(C)c1=O,-0.26
CC1CNc2c(cccc2S(=O)(=O)NC(CCCN=C(N)N)C(=O)N2CCC(C)CC2C(=O)O)C1,0.04
[NH3+]C(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)[O-],0.82
CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,3.21
CCN(CC)CC(=O)Nc1c(C)cccc1C,1.81
[NH3+]CCC(O)(P(=O)([O-])O)P(=O)(O)O,-1.41
CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1,5.29
CC1OC(OC2C(CO)OC(OC(C(O)CO)C(O)C(O)C=O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,-2.70
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,2.69
CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1C=CC(O)COc1cccc(C(F)(F)F)c1,4.02
CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,3.16
CNCCC(Oc1ccccc1C)c1ccccc1,3.95
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,3.81
CCOC(=O)c1cncn1C(C)c1ccccc1,2.66
Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)ccc2[nH]1,1.65
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,3.19
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,0.99
CCCN1CCCCC1C(=O)Nc1c(C)cccc1C,2.91
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,3.31
Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,2.78
Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1,-0.86
